state,year,predicted_cpi
Johor,2026,141.33
Johor,2027,143.83
Johor,2028,146.33
Kedah,2026,130.88
Kedah,2027,132.66
Kedah,2028,134.45
Kelantan,2026,133.26
Kelantan,2027,135.17
Kelantan,2028,137.08
Melaka,2026,132.89
Melaka,2027,134.83
Melaka,2028,136.78
Negeri Sembilan,2026,135.91
Negeri Sembilan,2027,138.04
Negeri Sembilan,2028,140.18
Pahang,2026,133.71
Pahang,2027,135.74
Pahang,2028,137.76
Perak,2026,130.56
Perak,2027,132.41
Perak,2028,134.26
Perlis,2026,126.95
Perlis,2027,128.57
Perlis,2028,130.19
Pulau Pinang,2026,139.39
Pulau Pinang,2027,141.8
Pulau Pinang,2028,144.2
Sabah,2026,124.4
Sabah,2027,125.81
Sabah,2028,127.21
Sarawak,2026,129.21
Sarawak,2027,130.96
Sarawak,2028,132.71
Selangor,2026,143.04
Selangor,2027,145.72
Selangor,2028,148.39
Terengganu,2026,130.17
Terengganu,2027,131.95
Terengganu,2028,133.73
W.P. Kuala Lumpur,2026,138.0
W.P. Kuala Lumpur,2027,140.35
W.P. Kuala Lumpur,2028,142.7
W.P. Labuan,2026,126.88
W.P. Labuan,2027,128.27
W.P. Labuan,2028,129.66
W.P. Putrajaya,2026,142.62
W.P. Putrajaya,2027,145.35
W.P. Putrajaya,2028,148.08
