state,district,category,type,date,crimes
Malaysia,All,assault,all,1/1/2016,22327
Malaysia,All,assault,all,1/1/2017,21366
Malaysia,All,assault,all,1/1/2018,16902
Malaysia,All,assault,all,1/1/2019,16489
Malaysia,All,assault,all,1/1/2020,13279
Malaysia,All,assault,all,1/1/2021,11495
Malaysia,All,assault,all,1/1/2022,10348
Malaysia,All,assault,all,1/1/2023,10453
Malaysia,All,assault,causing_injury,1/1/2016,5531
Malaysia,All,assault,causing_injury,1/1/2017,5024
Malaysia,All,assault,causing_injury,1/1/2018,4660
Malaysia,All,assault,causing_injury,1/1/2019,4712
Malaysia,All,assault,causing_injury,1/1/2020,4118
Malaysia,All,assault,causing_injury,1/1/2021,4063
Malaysia,All,assault,causing_injury,1/1/2022,3807
Malaysia,All,assault,causing_injury,1/1/2023,3693
Malaysia,All,assault,murder,1/1/2016,456
Malaysia,All,assault,murder,1/1/2017,379
Malaysia,All,assault,murder,1/1/2018,323
Malaysia,All,assault,murder,1/1/2019,310
Malaysia,All,assault,murder,1/1/2020,253
Malaysia,All,assault,murder,1/1/2021,243
Malaysia,All,assault,murder,1/1/2022,240
Malaysia,All,assault,murder,1/1/2023,258
Malaysia,All,assault,rape,1/1/2016,1886
Malaysia,All,assault,rape,1/1/2017,1835
Malaysia,All,assault,rape,1/1/2018,1648
Malaysia,All,assault,rape,1/1/2019,1738
Malaysia,All,assault,rape,1/1/2020,1582
Malaysia,All,assault,rape,1/1/2021,1553
Malaysia,All,assault,rape,1/1/2022,1712
Malaysia,All,assault,rape,1/1/2023,1914
Malaysia,All,assault,robbery_gang_armed,1/1/2016,65
Malaysia,All,assault,robbery_gang_armed,1/1/2017,31
Malaysia,All,assault,robbery_gang_armed,1/1/2018,31
Malaysia,All,assault,robbery_gang_armed,1/1/2019,21
Malaysia,All,assault,robbery_gang_armed,1/1/2020,6
Malaysia,All,assault,robbery_gang_armed,1/1/2021,5
Malaysia,All,assault,robbery_gang_armed,1/1/2022,16
Malaysia,All,assault,robbery_gang_armed,1/1/2023,30
Malaysia,All,assault,robbery_gang_unarmed,1/1/2016,10907
Malaysia,All,assault,robbery_gang_unarmed,1/1/2017,9779
Malaysia,All,assault,robbery_gang_unarmed,1/1/2018,6543
Malaysia,All,assault,robbery_gang_unarmed,1/1/2019,6058
Malaysia,All,assault,robbery_gang_unarmed,1/1/2020,2992
Malaysia,All,assault,robbery_gang_unarmed,1/1/2021,3071
Malaysia,All,assault,robbery_gang_unarmed,1/1/2022,2432
Malaysia,All,assault,robbery_gang_unarmed,1/1/2023,2578
Malaysia,All,assault,robbery_solo_armed,1/1/2016,19
Malaysia,All,assault,robbery_solo_armed,1/1/2017,3
Malaysia,All,assault,robbery_solo_armed,1/1/2018,9
Malaysia,All,assault,robbery_solo_armed,1/1/2019,9
Malaysia,All,assault,robbery_solo_armed,1/1/2020,5
Malaysia,All,assault,robbery_solo_armed,1/1/2021,2
Malaysia,All,assault,robbery_solo_armed,1/1/2022,7
Malaysia,All,assault,robbery_solo_armed,1/1/2023,13
Malaysia,All,assault,robbery_solo_unarmed,1/1/2016,3463
Malaysia,All,assault,robbery_solo_unarmed,1/1/2017,4315
Malaysia,All,assault,robbery_solo_unarmed,1/1/2018,3688
Malaysia,All,assault,robbery_solo_unarmed,1/1/2019,3641
Malaysia,All,assault,robbery_solo_unarmed,1/1/2020,4323
Malaysia,All,assault,robbery_solo_unarmed,1/1/2021,2558
Malaysia,All,assault,robbery_solo_unarmed,1/1/2022,2134
Malaysia,All,assault,robbery_solo_unarmed,1/1/2023,1967
Malaysia,All,property,all,1/1/2016,90028
Malaysia,All,property,all,1/1/2017,77804
Malaysia,All,property,all,1/1/2018,71760
Malaysia,All,property,all,1/1/2019,66967
Malaysia,All,property,all,1/1/2020,52344
Malaysia,All,property,all,1/1/2021,41479
Malaysia,All,property,all,1/1/2022,40465
Malaysia,All,property,all,1/1/2023,41991
Malaysia,All,property,break_in,1/1/2016,18760
Malaysia,All,property,break_in,1/1/2017,16201
Malaysia,All,property,break_in,1/1/2018,15742
Malaysia,All,property,break_in,1/1/2019,16497
Malaysia,All,property,break_in,1/1/2020,14040
Malaysia,All,property,break_in,1/1/2021,11352
Malaysia,All,property,break_in,1/1/2022,10585
Malaysia,All,property,break_in,1/1/2023,11557
Malaysia,All,property,theft_other,1/1/2016,22857
Malaysia,All,property,theft_other,1/1/2017,19444
Malaysia,All,property,theft_other,1/1/2018,20065
Malaysia,All,property,theft_other,1/1/2019,19603
Malaysia,All,property,theft_other,1/1/2020,16725
Malaysia,All,property,theft_other,1/1/2021,16695
Malaysia,All,property,theft_other,1/1/2022,15434
Malaysia,All,property,theft_other,1/1/2023,15837
Malaysia,All,property,theft_vehicle_lorry,1/1/2016,3050
Malaysia,All,property,theft_vehicle_lorry,1/1/2017,2102
Malaysia,All,property,theft_vehicle_lorry,1/1/2018,1761
Malaysia,All,property,theft_vehicle_lorry,1/1/2019,1549
Malaysia,All,property,theft_vehicle_lorry,1/1/2020,921
Malaysia,All,property,theft_vehicle_lorry,1/1/2021,639
Malaysia,All,property,theft_vehicle_lorry,1/1/2022,718
Malaysia,All,property,theft_vehicle_lorry,1/1/2023,764
Malaysia,All,property,theft_vehicle_motorcar,1/1/2016,10607
Malaysia,All,property,theft_vehicle_motorcar,1/1/2017,8480
Malaysia,All,property,theft_vehicle_motorcar,1/1/2018,7413
Malaysia,All,property,theft_vehicle_motorcar,1/1/2019,6817
Malaysia,All,property,theft_vehicle_motorcar,1/1/2020,4599
Malaysia,All,property,theft_vehicle_motorcar,1/1/2021,2849
Malaysia,All,property,theft_vehicle_motorcar,1/1/2022,3271
Malaysia,All,property,theft_vehicle_motorcar,1/1/2023,3245
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2016,34754
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2017,31577
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2018,26779
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2019,22501
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2020,16059
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2021,9944
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2022,10457
Malaysia,All,property,theft_vehicle_motorcycle,1/1/2023,10588
Johor,All,assault,all,1/1/2016,2820
Johor,All,assault,all,1/1/2017,2578
Johor,All,assault,all,1/1/2018,1880
Johor,All,assault,all,1/1/2019,1923
Johor,All,assault,all,1/1/2020,1384
Johor,All,assault,all,1/1/2021,925
Johor,All,assault,all,1/1/2022,973
Johor,All,assault,all,1/1/2023,1228
Johor,All,assault,causing_injury,1/1/2016,708
Johor,All,assault,causing_injury,1/1/2017,614
Johor,All,assault,causing_injury,1/1/2018,578
Johor,All,assault,causing_injury,1/1/2019,599
Johor,All,assault,causing_injury,1/1/2020,447
Johor,All,assault,causing_injury,1/1/2021,365
