state,year,predicted_crimes
Johor,2024,6426.5337
Johor,2025,7016.724
Johor,2026,7218.4673
Johor,2027,7165.427
Johor,2028,7002.371
Kedah,2024,4563.871
Kedah,2025,4546.231
Kedah,2026,4461.616
Kedah,2027,4435.996
Kedah,2028,4430.7866
Kelantan,2024,2451.0
Kelantan,2025,2666.7068
Kelantan,2026,2742.066
Kelantan,2027,2754.0928
Kelantan,2028,2698.8643
Melaka,2024,1770.019
Melaka,2025,1917.2454
Melaka,2026,1967.9192
Melaka,2027,1955.0457
Melaka,2028,1907.9512
Negeri Sembilan,2024,2287.582
Negeri Sembilan,2025,2483.606
Negeri Sembilan,2026,2553.2913
Negeri Sembilan,2027,2542.622
Negeri Sembilan,2028,2484.7498
Pahang,2024,2140.091
Pahang,2025,2301.1885
Pahang,2026,2369.8184
Pahang,2027,2373.1904
Pahang,2028,2331.4756
Perak,2024,3658.9255
Perak,2025,3685.2588
Perak,2026,3638.3018
Perak,2027,3586.4583
Perak,2028,3562.483
Perlis,2024,376.70953
Perlis,2025,404.96133
Perlis,2026,421.8563
Perlis,2027,431.16748
Perlis,2028,429.11993
Pulau Pinang,2024,3747.938
Pulau Pinang,2025,3822.1597
Pulau Pinang,2026,3866.8242
Pulau Pinang,2027,3863.497
Pulau Pinang,2028,3843.6077
Sabah,2024,4128.73
Sabah,2025,4106.9824
Sabah,2026,4033.903
Sabah,2027,4022.4426
Sabah,2028,4034.7283
Sarawak,2024,4204.8228
Sarawak,2025,4423.72
Sarawak,2026,4532.0713
Sarawak,2027,4567.0957
Sarawak,2028,4557.872
Selangor,2024,14741.255
Selangor,2025,15719.885
Selangor,2026,16214.441
Selangor,2027,16228.875
Selangor,2028,15984.541
Terengganu,2024,1424.7717
Terengganu,2025,1516.8448
Terengganu,2026,1571.7299
Terengganu,2027,1597.3052
Terengganu,2028,1593.6776
W.P. Kuala Lumpur,2024,6889.418
W.P. Kuala Lumpur,2025,8007.1743
W.P. Kuala Lumpur,2026,8536.173
W.P. Kuala Lumpur,2027,8660.748
W.P. Kuala Lumpur,2028,8427.875
