state,district,year,predicted_crimes
Johor,Batu Pahat,2024,428.83936
Johor,Iskandar Puteri,2024,532.9266
Johor,Johor Bahru Selatan,2024,1522.6403
Johor,Johor Bahru Utara,2024,856.5406
Johor,Kluang,2024,399.78055
Johor,Kota Tinggi,2024,310.283
Johor,Kulaijaya,2024,403.31857
Johor,Ledang,2024,141.19739
Johor,Mersing,2024,94.58899
Johor,Muar,2024,276.90277
Johor,Nusajaya,2024,58.27275
Johor,Pontian,2024,211.32379
Johor,Segamat,2024,215.97232
Johor,Seri Alam,2024,973.9469
Kedah,Baling,2024,270.64438
Kedah,Kota Setar,2024,1146.7794
Kedah,Kuala Muda,2024,1364.5411
Kedah,Kubang Pasu,2024,436.2663
Kedah,Kulim,2024,639.1728
Kedah,Langkawi,2024,268.99725
Kedah,Padang Terap,2024,100.184616
Kedah,Pendang,2024,185.3597
Kedah,Sik,2024,53.40589
Kedah,Yan,2024,98.51972
Kelantan,Bachok,2024,185.6984
Kelantan,Gua Musang,2024,123.16458
Kelantan,Jeli,2024,39.69564
Kelantan,Kota Bharu,2024,1014.6081
Kelantan,Kuala Krai,2024,103.55339
Kelantan,Machang,2024,142.37274
Kelantan,Pasir Mas,2024,224.23706
Kelantan,Pasir Puteh,2024,224.45802
Kelantan,Tanah Merah,2024,180.81691
Kelantan,Tumpat,2024,212.39511
Melaka,Alor Gajah,2024,275.37994
Melaka,Jasin,2024,181.671
Melaka,Melaka Tengah,2024,1312.968
Negeri Sembilan,Jelebu,2024,56.823803
Negeri Sembilan,Jempol,2024,187.61188
Negeri Sembilan,Kuala Pilah,2024,137.69054
Negeri Sembilan,Nilai,2024,571.9194
Negeri Sembilan,Port Dickson,2024,239.92789
Negeri Sembilan,Rembau,2024,83.228546
Negeri Sembilan,Seremban,2024,900.9487
Negeri Sembilan,Tampin,2024,109.43135
Pahang,Bentong,2024,278.62595
Pahang,Bera,2024,111.893616
Pahang,Jerantut,2024,129.23463
Pahang,Kuala Lipis,2024,81.95577
Pahang,Kuantan,2024,832.44183
Pahang,Maran,2024,153.89525
Pahang,Pekan,2024,107.85645
Pahang,Raub,2024,89.50359
Pahang,Rompin,2024,142.61557
Pahang,Temerloh,2024,212.06847
Perak,Batu Gajah,2024,89.1789
Perak,Gerik,2024,62.64198
Perak,Hilir Perak,2024,412.02036
Perak,Ipoh,2024,1446.6699
Perak,Kampar,2024,112.802925
Perak,Kerian,2024,161.21822
Perak,Kuala Kangsar,2024,98.68295
Perak,Manjung,2024,349.18182
Perak,Pengkalan Hulu,2024,13.992531
Perak,Perak Tengah,2024,120.923836
Perak,Selama,2024,34.780422
Perak,Sungai Siput,2024,83.39691
Perak,Taiping,2024,432.83173
Perak,Tanjong Malim,2024,96.40237
Perak,Tapah,2024,144.20065
Perlis,Arau,2024,98.07744
Perlis,Kangar,2024,214.09743
Perlis,Padang Besar,2024,64.53466
Pulau Pinang,Barat Daya,2024,387.51392
Pulau Pinang,Seberang Perai Selatan,2024,333.31033
Pulau Pinang,Seberang Perai Tengah,2024,1148.971
Pulau Pinang,Seberang Perai Utara,2024,723.5307
Pulau Pinang,Timur Laut,2024,1154.6122
Sabah,Beaufort,2024,83.63846
Sabah,Beluran,2024,66.81011
Sabah,Keningau,2024,142.03526
Sabah,Kota Belud,2024,76.80111
Sabah,Kota Kinabalu,2024,997.2454
Sabah,Kota Kinabatangan,2024,68.44251
Sabah,Kota Marudu,2024,76.0151
Sabah,Kudat,2024,46.944588
Sabah,Kunak,2024,50.310516
Sabah,Lahad Datu,2024,207.33849
Sabah,Papar,2024,168.28574
Sabah,Penampang,2024,322.56766
Sabah,Ranau,2024,69.482124
Sabah,Sandakan,2024,480.18103
Sabah,Semporna,2024,229.17526
Sabah,Sipitang,2024,46.77038
Sabah,Tawau,2024,730.42444
Sabah,Tenom,2024,44.147453
Sabah,Tuaran,2024,76.04876
Sabah,W.P. Labuan,2024,146.06561
Sarawak,Bau,2024,62.408394
Sarawak,Belaga,2024,35.724335
Sarawak,Betong,2024,62.158905
Sarawak,Bintulu,2024,384.05093
Sarawak,Dalat,2024,14.758345
Sarawak,Julau,2024,12.778829
Sarawak,Kanowit,2024,11.321366
Sarawak,Kapit,2024,36.90601
Sarawak,Kota Samarahan,2024,249.33679
Sarawak,Kuching,2024,930.3846
Sarawak,Lawas,2024,34.36472
Sarawak,Limbang,2024,34.9048
Sarawak,Lubok Antu,2024,21.713345
Sarawak,Lundu,2024,53.118553
Sarawak,Marudi,2024,67.92683
Sarawak,Matu Daro,2024,29.662413
Sarawak,Meradong,2024,40.8121
Sarawak,Miri,2024,482.52454
Sarawak,Mukah,2024,56.19879
Sarawak,Padawan,2024,667.30304
Sarawak,Saratok,2024,34.652313
Sarawak,Sarikei,2024,96.46484
Sarawak,Serian,2024,105.067535
Sarawak,Sibu,2024,535.5005
Sarawak,Simunjan,2024,39.224777
Sarawak,Song,2024,7.330501
Sarawak,Sri Aman,2024,80.9198
Sarawak,Tatau,2024,17.304983
Selangor,Ampang Jaya,2024,1479.0399
Selangor,Gombak,2024,1920.3962
Selangor,Hulu Selangor,2024,356.6304
Selangor,Kajang,2024,1871.0223
Selangor,Klang Selatan,2024,1379.1022
Selangor,Klang Utara,2024,887.4985
Selangor,Kuala Langat,2024,449.00812
Selangor,Kuala Selangor,2024,400.05856
Selangor,Petaling Jaya,2024,2093.8545
Selangor,Sabak Bernam,2024,211.35931
Selangor,Sepang,2024,654.8559
Selangor,Serdang,2024,1149.7466
Selangor,Shah Alam,2024,927.4603
Selangor,Subang Jaya,2024,961.2218
Terengganu,Besut,2024,268.91678
Terengganu,Dungun,2024,195.02116
Terengganu,Hulu Terengganu,2024,91.68033
Terengganu,Kemaman,2024,271.80466
Terengganu,Kuala Terengganu,2024,433.92422
Terengganu,Marang,2024,106.031555
Terengganu,Setiu,2024,57.393063
W.P. Kuala Lumpur,Brickfields,2024,1129.3975
W.P. Kuala Lumpur,Cheras,2024,1053.9805
W.P. Kuala Lumpur,Dang Wangi,2024,1721.3193
W.P. Kuala Lumpur,Sentul,2024,1493.8317
W.P. Kuala Lumpur,W.P. Putrajaya,2024,158.70566
W.P. Kuala Lumpur,Wangsa Maju,2024,1332.1833
Johor,Batu Pahat,2025,466.2438
Johor,Iskandar Puteri,2025,528.1185
Johor,Johor Bahru Selatan,2025,1713.5623
Johor,Johor Bahru Utara,2025,998.5913
Johor,Kluang,2025,429.37994
Johor,Kota Tinggi,2025,348.8982
Johor,Kulaijaya,2025,450.3533
Johor,Ledang,2025,153.4279
Johor,Mersing,2025,99.39932
Johor,Muar,2025,250.77713
Johor,Nusajaya,2025,78.23943
Johor,Pontian,2025,205.09387
Johor,Segamat,2025,238.342
Johor,Seri Alam,2025,1056.2971
Kedah,Baling,2025,254.21495
Kedah,Kota Setar,2025,1115.2876
Kedah,Kuala Muda,2025,1380.6882
Kedah,Kubang Pasu,2025,452.19363
Kedah,Kulim,2025,636.5471
Kedah,Langkawi,2025,286.42175
Kedah,Padang Terap,2025,86.94274
Kedah,Pendang,2025,180.68712
Kedah,Sik,2025,52.818172
Kedah,Yan,2025,100.42973
Kelantan,Bachok,2025,199.07101
Kelantan,Gua Musang,2025,126.27092
Kelantan,Jeli,2025,37.390053
Kelantan,Kota Bharu,2025,1105.6199
Kelantan,Kuala Krai,2025,121.39015
Kelantan,Machang,2025,160.14378
Kelantan,Pasir Mas,2025,260.17966
Kelantan,Pasir Puteh,2025,250.00087
Kelantan,Tanah Merah,2025,178.0525
Kelantan,Tumpat,2025,228.58812
Melaka,Alor Gajah,2025,270.31354
Melaka,Jasin,2025,178.36021
Melaka,Melaka Tengah,2025,1468.5715
Negeri Sembilan,Jelebu,2025,54.34375
Negeri Sembilan,Jempol,2025,184.7825
Negeri Sembilan,Kuala Pilah,2025,149.4387
Negeri Sembilan,Nilai,2025,650.76373
Negeri Sembilan,Port Dickson,2025,254.72424
Negeri Sembilan,Rembau,2025,91.13622
Negeri Sembilan,Seremban,2025,968.09015
Negeri Sembilan,Tampin,2025,130.3267
Pahang,Bentong,2025,295.4801
Pahang,Bera,2025,107.686005
Pahang,Jerantut,2025,134.58072
Pahang,Kuala Lipis,2025,84.57407
Pahang,Kuantan,2025,940.495
Pahang,Maran,2025,166.12161
Pahang,Pekan,2025,120.29315
Pahang,Raub,2025,86.71296
Pahang,Rompin,2025,145.75586
Pahang,Temerloh,2025,219.48889
Perak,Batu Gajah,2025,79.984055
Perak,Gerik,2025,60.463226
Perak,Hilir Perak,2025,413.35977
Perak,Ipoh,2025,1420.427
Perak,Kampar,2025,123.131966
Perak,Kerian,2025,154.23213
Perak,Kuala Kangsar,2025,98.77697
Perak,Manjung,2025,383.96222
Perak,Pengkalan Hulu,2025,12.77848
Perak,Perak Tengah,2025,108.76741
Perak,Selama,2025,28.899044
Perak,Sungai Siput,2025,86.70668
Perak,Taiping,2025,475.2646
Perak,Tanjong Malim,2025,99.95135
Perak,Tapah,2025,138.55376
Perlis,Arau,2025,101.268234
Perlis,Kangar,2025,241.22083
Perlis,Padang Besar,2025,62.47228
Pulau Pinang,Barat Daya,2025,373.63068
Pulau Pinang,Seberang Perai Selatan,2025,330.0173
Pulau Pinang,Seberang Perai Tengah,2025,1265.8838
Pulau Pinang,Seberang Perai Utara,2025,736.54474
Pulau Pinang,Timur Laut,2025,1116.0833
Sabah,Beaufort,2025,94.24115
Sabah,Beluran,2025,56.322132
Sabah,Keningau,2025,141.994
Sabah,Kota Belud,2025,94.51063
Sabah,Kota Kinabalu,2025,994.87476
Sabah,Kota Kinabatangan,2025,57.35483
Sabah,Kota Marudu,2025,73.38474
Sabah,Kudat,2025,41.930527
Sabah,Kunak,2025,51.327435
Sabah,Lahad Datu,2025,209.87955
Sabah,Papar,2025,177.56688
Sabah,Penampang,2025,349.92615
Sabah,Ranau,2025,63.42429
Sabah,Sandakan,2025,453.7129
Sabah,Semporna,2025,235.66176
Sabah,Sipitang,2025,56.661716
Sabah,Tawau,2025,679.61884
Sabah,Tenom,2025,36.68133
Sabah,Tuaran,2025,79.44996
Sabah,W.P. Labuan,2025,158.45895
Sarawak,Bau,2025,53.73468
Sarawak,Belaga,2025,36.4554
Sarawak,Betong,2025,55.19736
Sarawak,Bintulu,2025,386.01837
