,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,THB100,PHP100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
1-Sep-20,4.1475,5.561,4.9729,3.9244,4.6035,3.071,3.1879,3.0563,53.5158,13.3877,8.556,14.1331,0.3505,0.0284,110.5867,5.8849,0.608,3.0563,0.0179,0.1007,2.8033,0.313,5.6616,112.914,2.5062,3.5212,0.2613
2-Sep-20,4.1495,5.5514,4.9392,3.9126,4.5551,3.0507,3.1753,3.0482,53.5419,13.2869,8.5389,14.1325,0.3497,0.028,110.6327,5.907,0.6074,3.0482,0.0179,0.1008,2.8121,0.3146,5.679,112.9684,2.506,3.5591,0.2615
3-Sep-20,4.1425,5.5203,4.8968,3.8983,4.5412,3.0311,3.17,3.0404,53.4489,13.2264,8.5365,14.1151,0.3491,0.028,110.4446,5.871,0.6065,3.0404,0.0179,0.1006,2.7995,0.3136,5.659,112.7779,2.503,3.5451,0.2612
4-Sep-20,4.1475,5.5081,4.914,3.9059,4.5584,3.0159,3.1592,3.038,53.5151,13.196,8.5347,14.1295,0.3483,0.028,110.5823,5.8637,0.6062,3.038,0.0179,0.1007,2.7797,0.3118,5.6457,112.914,2.4967,3.528,0.2623
7-Sep-20,4.1485,5.4941,4.9106,3.9032,4.5398,3.023,3.1714,3.0393,53.5263,13.1992,8.5307,14.1454,0.3495,0.0281,110.6104,5.8725,0.6075,3.0393,0.0179,0.1008,2.7888,0.3124,5.6603,112.9412,2.4999,3.545,0.263
8-Sep-20,4.1665,5.4777,4.92,3.9198,4.5397,3.032,3.1782,3.046,53.7596,13.2522,8.566,14.2296,0.3505,0.0282,111.0859,5.898,0.6095,3.046,0.018,0.1012,2.7853,0.3135,5.6728,113.4313,2.5152,3.5505,0.2637
9-Sep-20,4.1735,5.4101,4.9162,3.9389,4.547,3.0133,3.1523,3.0432,53.8488,13.2914,8.5874,14.2333,0.3509,0.0281,111.2696,5.8918,0.6093,3.0432,0.018,0.1014,2.7641,0.314,5.6592,113.6218,2.5108,3.5441,0.2641
10-Sep-20,4.1655,5.4127,4.9245,3.9255,4.5717,3.0283,3.1665,3.046,53.746,13.3126,8.5759,14.224,0.3513,0.0281,111.0504,5.8691,0.6091,3.046,0.018,0.1012,2.7834,0.3132,5.6728,113.404,2.5033,3.5404,0.2638
11-Sep-20,4.1565,5.3318,4.9186,3.9148,4.5686,3.0241,3.1548,3.0392,53.6305,13.2838,8.5646,14.1916,0.3497,0.0278,110.8105,5.874,0.6078,3.0392,0.0179,0.1011,2.7686,0.3125,5.655,113.159,2.4995,3.5364,0.2637
14-Sep-20,4.1485,5.3188,4.9149,3.9105,4.5653,3.0205,3.1514,3.0366,53.5273,13.2667,8.5496,14.1742,0.3504,0.0278,110.5972,5.8588,0.6074,3.0366,0.0179,0.1009,2.7774,0.3119,5.6458,112.9412,2.4957,3.5257,0.2638
