state,year,predicted_gdp
Johor,2026,156693.47
Kedah,2026,54193.664
Kelantan,2026,28858.943
Melaka,2026,48898.934
Negeri Sembilan,2026,54305.637
Pahang,2026,67526.07
Perak,2026,86849.88
Perlis,2026,6651.017
Pulau Pinang,2026,119297.93
Sabah,2026,88414.23
Sarawak,2026,150636.2
Selangor,2026,418835.28
Terengganu,2026,40071.426
W.P. Kuala Lumpur,2026,253652.61
W.P. Labuan,2026,8511.271
Johor,2027,159538.64
Kedah,2027,54812.574
Kelantan,2027,29219.895
Melaka,2027,49507.766
Negeri Sembilan,2027,54928.773
Pahang,2027,68572.45
Perak,2027,88099.875
Perlis,2027,6730.18
Pulau Pinang,2027,120784.625
Sabah,2027,89622.516
Sarawak,2027,152511.11
Selangor,2027,425430.06
Terengganu,2027,40557.51
W.P. Kuala Lumpur,2027,256453.28
W.P. Labuan,2027,8610.699
Johor,2028,160950.97
Kedah,2028,55233.074
Kelantan,2028,29451.635
Melaka,2028,49898.24
Negeri Sembilan,2028,55372.38
Pahang,2028,69046.32
Perak,2028,88871.04
Perlis,2028,6793.124
Pulau Pinang,2028,121310.11
Sabah,2028,90694.44
Sarawak,2028,154055.88
Selangor,2028,427380.56
Terengganu,2028,40916.492
W.P. Kuala Lumpur,2028,259316.08
W.P. Labuan,2028,8682.618
