series,date,state,sector,value
abs,1/1/2015,Johor,GDP at purchasers' prices,110002.221
abs,1/1/2015,Johor,Agriculture,15610.314
abs,1/1/2015,Johor,Mining and quarrying,475.64
abs,1/1/2015,Johor,Manufacturing,32358.659
abs,1/1/2015,Johor,Construction,7269.16
abs,1/1/2015,Johor,Services,53058.447
abs,1/1/2015,Johor,(plus) Import dutie,1230.001
abs,1/1/2015,Kedah,GDP at purchasers' prices,39549.581
abs,1/1/2015,Kedah,Agriculture,5423.368
abs,1/1/2015,Kedah,Mining and quarrying,83.056
abs,1/1/2015,Kedah,Manufacturing,11427.051
abs,1/1/2015,Kedah,Construction,862.638
abs,1/1/2015,Kedah,Services,21465.109
abs,1/1/2015,Kedah,(plus) Import dutie,288.359
abs,1/1/2015,Kelantan,GDP at purchasers' prices,21407.736
abs,1/1/2015,Kelantan,Agriculture,5101.864
abs,1/1/2015,Kelantan,Mining and quarrying,229.021
abs,1/1/2015,Kelantan,Manufacturing,1147.468
abs,1/1/2015,Kelantan,Construction,444.65
abs,1/1/2015,Kelantan,Services,14454.747
abs,1/1/2015,Kelantan,(plus) Import dutie,29.985
abs,1/1/2015,Melaka,GDP at purchasers' prices,36077.257
abs,1/1/2015,Melaka,Agriculture,4141.42
abs,1/1/2015,Melaka,Mining and quarrying,43.988
abs,1/1/2015,Melaka,Manufacturing,14068.303
abs,1/1/2015,Melaka,Construction,947.012
abs,1/1/2015,Melaka,Services,16810.973
abs,1/1/2015,Melaka,(plus) Import dutie,65.56
abs,1/1/2015,Negeri Sembilan,GDP at purchasers' prices,40185.677
abs,1/1/2015,Negeri Sembilan,Agriculture,3235.335
abs,1/1/2015,Negeri Sembilan,Mining and quarrying,165.377
abs,1/1/2015,Negeri Sembilan,Manufacturing,15678.075
abs,1/1/2015,Negeri Sembilan,Construction,1339.339
abs,1/1/2015,Negeri Sembilan,Services,18950.586
abs,1/1/2015,Negeri Sembilan,(plus) Import dutie,816.964
abs,1/1/2015,Pahang,GDP at purchasers' prices,49449.712
abs,1/1/2015,Pahang,Agriculture,11665.23
abs,1/1/2015,Pahang,Mining and quarrying,1311.294
abs,1/1/2015,Pahang,Manufacturing,10416.952
abs,1/1/2015,Pahang,Construction,2105.062
abs,1/1/2015,Pahang,Services,23884.728
abs,1/1/2015,Pahang,(plus) Import dutie,66.445
abs,1/1/2015,Perak,GDP at purchasers' prices,63175.555
abs,1/1/2015,Perak,Agriculture,10351.594
abs,1/1/2015,Perak,Mining and quarrying,354.095
abs,1/1/2015,Perak,Manufacturing,11190.469
abs,1/1/2015,Perak,Construction,2578.368
abs,1/1/2015,Perak,Services,38627.926
abs,1/1/2015,Perak,(plus) Import dutie,73.103
abs,1/1/2015,Perlis,GDP at purchasers' prices,5352.875
abs,1/1/2015,Perlis,Agriculture,1161.077
abs,1/1/2015,Perlis,Mining and quarrying,31.698
abs,1/1/2015,Perlis,Manufacturing,458.197
abs,1/1/2015,Perlis,Construction,193.228
abs,1/1/2015,Perlis,Services,3414.264
abs,1/1/2015,Perlis,(plus) Import dutie,94.412
abs,1/1/2015,Pulau Pinang,GDP at purchasers' prices,78146.215
abs,1/1/2015,Pulau Pinang,Agriculture,2083.789
abs,1/1/2015,Pulau Pinang,Mining and quarrying,124.145
abs,1/1/2015,Pulau Pinang,Manufacturing,33596.784
abs,1/1/2015,Pulau Pinang,Construction,2711.965
abs,1/1/2015,Pulau Pinang,Services,38917.261
abs,1/1/2015,Pulau Pinang,(plus) Import dutie,712.27
abs,1/1/2015,Sabah,GDP at purchasers' prices,73776.128
abs,1/1/2015,Sabah,Agriculture,14816.807
abs,1/1/2015,Sabah,Mining and quarrying,18207.153
abs,1/1/2015,Sabah,Manufacturing,6265.78
abs,1/1/2015,Sabah,Construction,2446.413
abs,1/1/2015,Sabah,Services,31754.571
abs,1/1/2015,Sabah,(plus) Import dutie,285.404
abs,1/1/2015,Sarawak,GDP at purchasers' prices,121585.277
