state,district,year,predicted_population
Johor,Batu Pahat,2024,508.1
Johor,Batu Pahat,2025,511.8
Johor,Batu Pahat,2026,515.4
Johor,Batu Pahat,2027,519.1
Johor,Batu Pahat,2028,522.7
Johor,Johor Bahru,2024,1788.7
Johor,Johor Bahru,2025,1811.7
Johor,Johor Bahru,2026,1834.7
Johor,Johor Bahru,2027,1857.7
Johor,Johor Bahru,2028,1880.7
Johor,Kluang,2024,332.1
Johor,Kluang,2025,334.6
Johor,Kluang,2026,337.1
Johor,Kluang,2027,339.6
Johor,Kluang,2028,342.1
Johor,Kota Tinggi,2024,232.2
Johor,Kota Tinggi,2025,234.9
Johor,Kota Tinggi,2026,237.6
Johor,Kota Tinggi,2027,240.4
Johor,Kota Tinggi,2028,243.1
Johor,Kulai,2024,347.1
Johor,Kulai,2025,352.7
Johor,Kulai,2026,358.4
Johor,Kulai,2027,364.0
Johor,Kulai,2028,369.7
Johor,Mersing,2024,80.8
Johor,Mersing,2025,81.5
Johor,Mersing,2026,82.1
Johor,Mersing,2027,82.8
Johor,Mersing,2028,83.5
Johor,Muar,2024,321.5
Johor,Muar,2025,323.6
Johor,Muar,2026,325.6
Johor,Muar,2027,327.7
Johor,Muar,2028,329.8
Johor,Pontian,2024,177.0
Johor,Pontian,2025,178.0
Johor,Pontian,2026,179.1
Johor,Pontian,2027,180.1
Johor,Pontian,2028,181.2
Johor,Segamat,2024,203.3
Johor,Segamat,2025,204.9
Johor,Segamat,2026,206.6
Johor,Segamat,2027,208.3
Johor,Segamat,2028,210.0
Johor,Tangkak,2024,168.3
Johor,Tangkak,2025,169.7
Johor,Tangkak,2026,171.1
Johor,Tangkak,2027,172.4
Johor,Tangkak,2028,173.8
Kedah,Baling,2024,147.9
Kedah,Baling,2025,149.2
Kedah,Baling,2026,150.5
Kedah,Baling,2027,151.8
Kedah,Baling,2028,153.1
Kedah,Bandar Baharu,2024,45.4
Kedah,Bandar Baharu,2025,45.7
Kedah,Bandar Baharu,2026,46.0
Kedah,Bandar Baharu,2027,46.3
Kedah,Bandar Baharu,2028,46.5
Kedah,Kota Setar,2024,381.4
Kedah,Kota Setar,2025,383.3
Kedah,Kota Setar,2026,385.1
Kedah,Kota Setar,2027,387.0
Kedah,Kota Setar,2028,388.8
Kedah,Kuala Muda,2024,568.0
Kedah,Kuala Muda,2025,574.7
Kedah,Kuala Muda,2026,581.3
Kedah,Kuala Muda,2027,588.0
Kedah,Kuala Muda,2028,594.7
Kedah,Kubang Pasu,2024,253.4
Kedah,Kubang Pasu,2025,256.2
Kedah,Kubang Pasu,2026,259.0
Kedah,Kubang Pasu,2027,261.7
Kedah,Kubang Pasu,2028,264.5
Kedah,Kulim,2024,350.5
Kedah,Kulim,2025,354.1
Kedah,Kulim,2026,357.7
Kedah,Kulim,2027,361.3
Kedah,Kulim,2028,364.9
Kedah,Langkawi,2024,99.4
Kedah,Langkawi,2025,100.7
Kedah,Langkawi,2026,102.1
Kedah,Langkawi,2027,103.4
Kedah,Langkawi,2028,104.8
Kedah,Padang Terap,2024,67.5
Kedah,Padang Terap,2025,68.0
Kedah,Padang Terap,2026,68.4
Kedah,Padang Terap,2027,68.9
Kedah,Padang Terap,2028,69.3
Kedah,Pendang,2024,101.4
Kedah,Pendang,2025,102.0
Kedah,Pendang,2026,102.7
Kedah,Pendang,2027,103.3
Kedah,Pendang,2028,104.0
Kedah,Pokok Sena,2024,50.9
Kedah,Pokok Sena,2025,51.2
Kedah,Pokok Sena,2026,51.5
Kedah,Pokok Sena,2027,51.8
Kedah,Pokok Sena,2028,52.1
Kedah,Sik,2024,69.9
Kedah,Sik,2025,70.5
Kedah,Sik,2026,71.0
Kedah,Sik,2027,71.6
Kedah,Sik,2028,72.1
Kedah,Yan,2024,74.7
Kedah,Yan,2025,75.0
Kedah,Yan,2026,75.4
Kedah,Yan,2027,75.7
Kedah,Yan,2028,76.1
Kelantan,Bachok,2024,165.3
Kelantan,Bachok,2025,167.4
Kelantan,Bachok,2026,169.6
Kelantan,Bachok,2027,171.7
Kelantan,Bachok,2028,173.8
Kelantan,Gua Musang,2024,109.4
Kelantan,Gua Musang,2025,111.5
Kelantan,Gua Musang,2026,113.7
Kelantan,Gua Musang,2027,115.8
Kelantan,Gua Musang,2028,117.9
Kelantan,Jeli,2024,57.6
Kelantan,Jeli,2025,58.3
Kelantan,Jeli,2026,59.0
Kelantan,Jeli,2027,59.7
Kelantan,Jeli,2028,60.4
Kelantan,Kecil Lojing,2024,11.4
