state,year,predicted_visitors_thousands
Johor,2026,18788.928
Kedah,2026,17174.295
Kelantan,2026,12025.421
Melaka,2026,20147.305
Negeri Sembilan,2026,19284.107
Pahang,2026,22862.879
Perak,2026,24291.438
Perlis,2026,3286.8987
Pulau Pinang,2026,18371.17
Sabah,2026,23160.68
Sarawak,2026,23541.291
Selangor,2026,38405.348
Terengganu,2026,16311.087
W.P. Kuala Lumpur,2026,31830.043
W.P. Labuan,2026,547.03394
W.P. Putrajaya,2026,2708.6562
Johor,2027,19142.83
Kedah,2027,17875.012
Kelantan,2027,12276.728
Melaka,2027,20215.861
Negeri Sembilan,2027,19515.943
Pahang,2027,23193.998
Perak,2027,24863.979
Perlis,2027,3235.6323
Pulau Pinang,2027,18840.385
Sabah,2027,23788.205
Sarawak,2027,24201.27
Selangor,2027,39560.09
Terengganu,2027,16800.248
W.P. Kuala Lumpur,2027,31758.19
W.P. Labuan,2027,548.62555
W.P. Putrajaya,2027,2654.5532
Johor,2028,19343.717
Kedah,2028,18295.145
Kelantan,2028,12415.952
Melaka,2028,20238.477
Negeri Sembilan,2028,19637.605
Pahang,2028,23374.785
Perak,2028,25185.1
Perlis,2028,3203.685
Pulau Pinang,2028,19101.318
Sabah,2028,24140.76
Sarawak,2028,24593.496
Selangor,2028,40216.67
Terengganu,2028,17082.332
W.P. Kuala Lumpur,2028,31712.121
W.P. Labuan,2028,549.3386
W.P. Putrajaya,2028,2622.6296
